Voxel size (nm): 
20	0

Voxel X		Voxel Y		Voxel Z		Dose (eV)    Dose (Gy)
-1  1  0  16.9829  339.658
0  1  0  10.3229  206.459
-1  11  -1  8.97309  179.462
-1  11  0  18.137  362.74
0  11  -1  0.114289  2.28579
0  11  0  11.4133  228.266
-1  12  -1  10.6748  213.495
0  14  -1  18.6341  372.683
-1  17  -1  22.0714  441.428
-1  20  -1  44.8429  896.859
-1  20  0  5.30007  106.001
0  20  -1  163.196  3263.91
0  20  0  8.93092  178.618
-1  23  -1  19.9324  398.649
0  25  0  14.3865  287.73
0  26  -1  47.8292  956.584
-1  27  -1  27.547  550.94
0  27  0  12.1143  242.286
0  29  0  10.2573  205.146
-1  30  -1  9.54481  190.896
-1  30  0  0.528442  10.5688
0  30  -1  0.192593  3.85186
0  30  0  9.16981  183.396
0  31  -1  26.1309  522.619
0  31  0  0.0664721  1.32944
0  34  0  19.4687  389.375
0  35  -1  27.5438  550.876
-1  37  -1  0.470629  9.41259
-1  37  0  7.18441  143.688
0  37  0  12.1  242
-1  38  -1  34.1729  683.458
-1  38  0  8.76  175.2
0  38  -1  20.736  414.72
0  41  -1  35.4451  708.901
0  43  -1  12.1228  242.456
-1  44  0  26.0174  520.347
0  44  -1  34.6616  693.233
0  44  0  35.8103  716.206
-1  45  -1  7.38496  147.699
0  45  -1  16.3583  327.165
0  45  0  12.1  242
-1  46  -1  18.7261  374.523
-1  46  0  15.4676  309.352
-1  47  0  14.7515  295.029
0  47  0  13.2899  265.798
-1  49  -1  11.6243  232.486
-1  50  -1  0.244609  4.89219
-1  50  0  0.154175  3.0835
0  50  -1  8.76  175.2
-1  52  -1  27.2844  545.687
-1  52  0  16.843  336.86
-1  53  -1  14.0455  280.911
0  54  -1  30.1052  602.104
0  54  0  32.2  644
-1  55  0  8.96013  179.203
0  55  -1  9.6226  192.452
0  55  0  27.596  551.921
-1  58  0  11.365  227.301
0  58  0  11.0001  220.001
0  59  0  27.7517  555.033
-1  61  0  27.91  558.2
-1  62  -1  7.48148  149.63
0  62  -1  16.8  336
-1  64  -1  7.60895  152.179
-1  64  0  32.2  644
0  64  0  0.165295  3.3059
-1  65  -1  19.8485  396.969
