7.65	6.8080E+04	5.6733E-05	1.0212E+00	1	1					
8.59	7.1942E+04	5.9952E-05	1.0791E+00	1	1					
9.65	7.5939E+04	6.3282E-05	1.1391E+00	1	2					
10.83	8.0083E+04	6.6736E-05	1.2012E+00	1	2					
12.15	8.4382E+04	7.0318E-05	1.2657E+00	1	3					
13.63	8.8841E+04	7.4034E-05	1.3326E+00	1	3					
15.30	9.3459E+04	7.7883E-05	1.4019E+00	1	4					
17.15	9.8233E+04	8.1860E-05	1.4735E+00	1	4					
19.23	1.0315E+05	8.5955E-05	1.5472E+00	1	5					
21.56	1.0818E+05	9.0154E-05	1.6228E+00	1	5					
24.17	1.1331E+05	9.4426E-05	1.6997E+00	1	6					
27.10	1.1853E+05	9.8777E-05	1.7780E+00	1	7					
30.37	1.2364E+05	1.0304E-04	1.8546E+00	1	8					
34.04	1.2859E+05	1.0716E-04	1.9288E+00	1	9					
38.15	1.3332E+05	1.1110E-04	1.9998E+00	1	10					
42.76	1.3766E+05	1.1471E-04	2.0648E+00	2	11					
47.93	1.4148E+05	1.1790E-04	2.1223E+00	2	12					
53.73	1.4463E+05	1.2053E-04	2.1695E+00	2	13					
60.24	1.4699E+05	1.2249E-04	2.2048E+00	2	14					
67.55	1.4832E+05	1.2360E-04	2.2248E+00	2	15					
75.77	1.4859E+05	1.2382E-04	2.2288E+00	2	16					
85.01	1.4767E+05	1.2306E-04	2.2150E+00	2	17					
95.41	1.4550E+05	1.2125E-04	2.1824E+00	2	18					
107.14	1.4202E+05	1.1835E-04	2.1303E+00	2	19					
120.35	1.3739E+05	1.1449E-04	2.0609E+00	2	20					
135.29	1.3175E+05	1.0979E-04	1.9762E+00	1	21					
152.16	1.2513E+05	1.0427E-04	1.8769E+00	1	22					
171.37	1.1757E+05	9.7977E-05	1.7636E+00	1	23					
193.01	1.1009E+05	9.1741E-05	1.6513E+00	1	24					
217.87	1.0236E+05	8.5303E-05	1.5354E+00	1	25					
246.15	9.4480E+04	7.8733E-05	1.4172E+00	1	26					
278.11	8.7601E+04	7.3000E-05	1.3140E+00	1	27					
314.73	8.1259E+04	6.7716E-05	1.2189E+00	1	28					
357.10	7.4754E+04	6.2295E-05	1.1213E+00	1	29					
405.35	6.9280E+04	5.7733E-05	1.0392E+00	1	30										
