 x                 y                 z               Event            Energy              Time
-1.9002975034e+01  1.4694304484e+03 -1.5092370129e+01  0  8.0343247542e+00  1.5915778388e-15
 1.9416616555e+00  1.6939665690e+03  4.1561435800e-01 12  9.4783199259e-01  1.8347786749e-15
-3.4157878431e+00  1.9122820868e+03  3.1157936486e+00  7  1.2100000000e+01  2.0712418163e-15
-5.1574416121e+00  4.4891131937e+03  1.0803890099e+01  7  8.7600000000e+00  4.8622737354e-15
-3.6218195366e+00  7.4467664835e+03  3.9792124328e+00  7  8.7600000000e+00  8.0657839363e-15
-5.9203313635e+00  8.0761398875e+03 -1.2465941496e+01 12  3.6185383455e+00  8.7474744261e-15
 1.2200071461e+01  8.4368592112e+03 -3.5111439852e+01 12  5.3494758517e-01  9.1381787853e-15
 3.5559687456e+01  9.6782348006e+03 -9.5505932736e+00 12  2.8813470043e-01  1.0482744552e-14
-9.6253086164e+01  9.8819816348e+03  1.0091525767e+02  7  1.2100000000e+01  1.0703427978e-14
-5.3495469637e+00  1.1075357653e+04  1.1637790637e+01 12  1.2313535080e+00  1.1996004178e-14
 7.2253430212e-01  1.2549107930e+04 -1.2527805408e+01  7  1.2100000000e+01  1.3592260933e-14
-1.2180270489e+02  1.3258163617e+04 -3.1811138526e+01 12  1.0321337611e+00  1.4360257349e-14
-4.0523389732e+00  1.6483951243e+04  3.8364143992e+01  8  1.0679023615e+01  1.7854190733e-14
 2.2477584785e+02  1.7748378450e+04  4.0717551639e+01  7  1.2100000000e+01  1.9223724299e-14
-5.4851448995e+01  2.1224252516e+04 -7.8413856064e+01  7  1.6800000000e+01  2.2988532725e-14
-3.7715594173e+00  2.2432562298e+04 -2.9548330413e+00  7  1.6800000000e+01  2.4297284067e-14
 1.5010886590e+02  2.2714011106e+04 -8.5107212374e+01  7  1.6800000000e+01  2.4602128496e-14
-4.9135911730e+00  2.7173432353e+04 -1.0892364160e+00 12  4.2185925784e-01  2.9432242122e-14
-1.2136451626e+01  2.7499609740e+04 -2.5950990439e+00  7  8.7600000000e+00  2.9785533222e-14
-2.0803878300e+00  3.1818163510e+04 -1.4703105810e+00 12  1.4184977277e+00  3.4463069668e-14
 2.4401071627e+00  3.2042201026e+04  3.2999929220e+00 12  1.3327360499e-01  3.4705730452e-14
 8.1235534848e+00  3.2891104058e+04 -4.0462856237e-01 12  1.6943826025e+00  3.5625199118e-14
-2.8967924658e+00  3.4767645821e+04  4.7160058358e+00  7  1.6800000000e+01  3.7657729672e-14
 8.4048293491e+00  3.5526825351e+04 -8.1950060405e+00 12  2.3517816149e+00  3.8480016508e-14
 1.1997504205e+00  3.8713059179e+04 -3.8105848862e+00  7  8.7600000000e+00  4.1931108158e-14
 8.6757955599e+00  3.9351469605e+04 -2.6295632078e+01  7  1.2100000000e+01  4.2622586878e-14
-2.1514674470e+00  4.6598397767e+04 -2.9483068858e+01 12  1.3949021757e+00  5.0471920799e-14
-2.0787473003e+00  4.7861626711e+04  8.5875312831e+00  7  8.7600000000e+00  5.1840156496e-14
-1.3046534241e+01  4.9907603103e+04  5.5951301951e+00 12  1.8580575475e+00  5.4056206045e-14
-3.7299177525e+01  5.0007871605e+04  4.7369610084e+01  7  8.7600000000e+00  5.4164809434e-14
 6.0382787074e+00  5.1600222980e+04  2.3714979038e+00 12  1.9928364853e+00  5.5889526084e-14
 2.9454878323e+00  5.2545619026e+04 -1.3837682805e+00  7  1.6800000000e+01  5.6913508809e-14
