 x                 y                 z               Event            Energy              Time
 1.9163659476e+01  6.0697980027e+01 -5.5076677803e+00 12  6.0761935207e-02  1.2702643519e-16
 4.3967971775e+00  3.9856541090e+02  3.8570393910e+00  7  1.2100000000e+01  8.3410260631e-16
-1.1865216175e+01  4.8374997542e+02  4.0634256169e+00  7  1.6800000000e+01  1.0123736387e-15
-1.2673880649e+00  2.1341550551e+03  2.4188285669e+00  7  1.2100000000e+01  4.4662789219e-15
-3.0743911024e+01  2.1889058288e+03 -5.4816902826e+00  7  1.6800000000e+01  4.5808592688e-15
-1.3686404655e+00  2.8852070206e+03 -1.2585798098e+00  7  1.2100000000e+01  6.0380520482e-15
-9.2297065826e+00  2.8934448962e+03  1.3711528928e+01 12  1.2730926885e+00  6.0552919624e-15
 4.2030065517e+00  3.0830551495e+03  3.5810556917e+00 12  8.1892559180e-01  6.4521011238e-15
-8.4634915563e-01  4.3591583819e+03  3.5858729674e-01  7  1.2100000000e+01  9.1226816682e-15
 9.8556522001e-02  4.4434003417e+03 -2.3891813615e+00 12  5.9405636608e-01  9.2989800532e-15
 1.1153574645e+01  4.7023948897e+03  7.6896308486e+00  7  1.2100000000e+01  9.8409940404e-15
-1.7354061973e+01  5.1419532005e+03  1.0847352205e+02 12  1.5002016668e+00  1.0760885036e-14
-3.5884680598e+01  5.6621012372e+03 -1.2594940991e+01 12  6.1693738317e-01  1.1849431160e-14
 3.4235153298e+00  6.1213090929e+03  2.0442606083e-01 12  8.6901662067e-01  1.2810443979e-14
-3.3815610857e+01  7.0940410512e+03  7.8384719537e+00 12  1.8483543085e+00  1.4846140604e-14
-1.0389337420e+00  9.0645140546e+03  1.0413507821e+01 12  3.6866942092e-01  1.8969871923e-14
-1.2176816014e+00  9.5868627717e+03 -1.2388226266e+01 12  8.4870049965e-01  2.0063023547e-14
 8.3931243835e-01  1.0418085329e+04 -9.9538024966e-01 12  1.9783244442e+00  2.1802574654e-14
