 x                 y                 z               Event            Energy              Time
-4.9019929127e+00  7.2793512283e+02  3.5029093382e+00 12  1.3970073243e+00  1.9130519155e-15
 8.2867102725e+00  7.2884265801e+02 -4.4791157513e+01  7  8.7600000000e+00  1.9154369659e-15
 1.2622834438e+00  8.3709355472e+02  1.1261282595e+01  7  8.7600000000e+00  2.1999260348e-15
 1.7699881306e+00  1.2683676360e+03  5.3691492609e+00 12  6.4262549006e-01  3.3333370784e-15
-6.6890916552e-01  1.3064102245e+03  1.5446011075e-01 12  2.3504401849e+00  3.4333150085e-15
 7.4043739357e+00  1.9059641999e+03 -7.7098721387e+00  7  8.7600000000e+00  5.0089744939e-15
-1.6324602144e+00  1.9098768456e+03 -1.6189736778e+00 12  7.8589723983e-01  5.0192571333e-15
-6.3793455203e-01  2.1144604288e+03 -2.2171695762e+00 12  3.1831261443e-01  5.5569135858e-15
-3.1047544477e-01  3.3530685913e+03 -2.7247133172e-01 12  5.1171975494e-01  8.8120411975e-15
 4.7869332164e+00  3.3664386221e+03  6.4605576080e+00  7  8.7600000000e+00  8.8471783439e-15
 1.2925713295e+01  3.4399234482e+03  4.0046962370e+01 12  1.2724430594e+00  9.0403003447e-15
 4.4415181511e+01  3.6015867832e+03 -2.6466380349e+01 12  5.7088388707e-01  9.4651601200e-15
-6.7783419350e+00  3.9889741384e+03  1.0484198577e+01  7  8.7600000000e+00  1.0483234532e-14
-1.0166738820e+01  4.0346855209e+03 -1.0777489080e+01 12  1.7351753518e+00  1.0603366457e-14
-2.7930813588e+01  4.0904201098e+03  7.4386129341e+01 12  3.3185086655e-01  1.0749839898e-14
 3.9376114300e-01  4.2399215597e+03 -7.4692743876e-01  7  1.2100000000e+01  1.1142737597e-14
 3.3129698317e+01  4.2744088042e+03  2.5262586579e+01  7  8.7600000000e+00  1.1233371896e-14
 1.6027804262e+00  4.2859751450e+03  5.4015572039e+00  7  1.6800000000e+01  1.1263768850e-14
-4.7929541761e+01  5.2934460364e+03  3.9437766595e+00  7  8.7600000000e+00  1.3911455516e-14
-3.0209968743e+00  5.8722674368e+03 -1.4157762859e+00  3  8.7600000000e+00  1.5432628700e-14
-3.0209968743e+00  5.8722674368e+03 -1.4157762859e+00 12  1.4910777602e+00  1.5432628700e-14
 1.7674192509e+01  5.9481502831e+03  9.1256949399e+01 12  2.4875219815e+00  1.5632052824e-14
-4.5924116897e+00  5.9981282738e+03  1.5944153920e+01 12  3.8986026049e-01  1.5763397622e-14
-3.1097068000e+00  6.3550963600e+03 -9.6192846430e-01  7  1.2100000000e+01  1.6701528589e-14
 5.0168469196e+01  6.6430683221e+03 -5.1705494457e+00 12  3.4438304010e-01  1.7458334102e-14
 1.4882787875e+01  6.7165033541e+03 -8.3846958379e-01 12  5.1093079862e-01  1.7651325241e-14
 9.5540568040e-02  7.3682961493e+03 -1.3282133446e+01 12  2.6480666100e+00  1.9364271101e-14
-2.8176873318e+01  7.5306675857e+03 -2.0835235887e+01 12  1.0537022426e+00  1.9790991804e-14
-9.2322551354e+00  7.7355664746e+03 -1.0085554866e+01 12  6.5696680050e-01  2.0329476897e-14
-1.6360066813e+01  7.7899735242e+03 -3.6639306683e+01 12  9.3129455886e-01  2.0472461494e-14
 8.5074977931e+01  8.6748763676e+03 -2.2546133342e+01 12  2.0810068946e+00  2.2798032862e-14
-3.4474136939e+01  9.0708343078e+03 -9.7998877095e+01 12  9.4171973853e-01  2.3838631224e-14
 1.0474305909e+01  9.2771623754e+03  7.3740983992e-01 12  3.3523421131e+00  2.4380872273e-14
 1.0300023452e+00  9.3308873729e+03 -4.6420870114e-01  7  8.7600000000e+00  2.4522064402e-14
-7.1780007862e+00  9.6515636953e+03 -2.8927467998e+00 12  1.1369040100e+00  2.5364818699e-14
-7.9133096865e+00  9.8127453293e+03  2.2399768809e+00 12  1.8680983218e-01  2.5788412539e-14
-1.9765498278e-01  1.0604490059e+04 -4.0905516325e-01 12  9.3414679247e-01  2.7869159467e-14
 1.0484599098e-01  1.0762568193e+04  1.2187776690e+00  7  1.2100000000e+01  2.8284597146e-14
-1.2795850009e-01  1.0872068171e+04 -2.1464912204e+00  7  8.7600000000e+00  2.8572368865e-14
-1.2484068987e+01  1.1008164038e+04  3.9164279244e+00  7  1.6800000000e+01  2.8930035987e-14
 8.6335088564e+00  1.1195821500e+04 -7.1299662354e+00 12  8.8075021584e-01  2.9423209700e-14
-1.1970407430e+01  1.2723810931e+04  5.7409556470e-01  7  8.7600000000e+00  3.3438846555e-14
 4.0326069155e-01  1.2866885263e+04 -1.2834606383e+00  7  1.6800000000e+01  3.3814853448e-14
 1.9109446694e+00  1.3212715649e+04  4.3707869866e+00  7  1.2100000000e+01  3.4723713953e-14
 2.6304183645e+00  1.3550099730e+04  1.3805471536e+00 12  1.8444146175e+00  3.5610377121e-14
 7.4802075110e+00  1.3613062372e+04  4.9427543255e+00 12  1.0879553888e+00  3.5775846268e-14
 2.6432177316e+01  1.3629942143e+04 -1.8800143261e+01 12  3.5449882396e-01  3.5820207197e-14
-6.4443298312e+00  1.3675211709e+04 -1.9283013060e+00 12  6.6828115118e-01  3.5939178004e-14
