Concentration	Probability													
0.30	20.00													
0.40	22.86													
0.50	25.71													
0.60	28.57													
0.70	31.43													
0.80	34.29													
0.90	37.14													
1.00	40.00													
1.10	41.50													
1.20	43.00													
1.30	44.50													
1.40	46.00													
1.50	47.50													
1.60	49.00													
1.70	50.50													
1.80	52.00													
1.90	53.50													
2.00	55.00													
2.10	56.50													
2.20	58.00													
2.30	59.50													
2.40	61.00													
2.50	62.50													
2.60	64.00													
2.70	65.50													
2.80	67.00													
2.90	68.50													
3.00	70.00													
3.10	66.50													
3.20	63.00													
3.30	59.50													
3.40	56.00													
3.50	52.50													
3.60	49.00													
3.70	45.50													
3.80	42.00													
3.90	38.50													
4.00	35.00													
4.10	31.50													
4.20	28.00													
4.30	24.50													
4.40	21.00													
4.50	17.50													
4.60	14.00													
4.70	10.50													
4.80	7.00													
4.90	3.50													
5.00	0													
