 x                 y                 z               Event            Energy              Time
 7.7745686396e+01  4.1250206979e+03  1.0329788964e+02  7  8.7600000000e+00  2.0760376487e-15
-9.9931234595e+01  4.7692436304e+03 -4.1599208879e+01 12  3.6242774911e-01  2.4002617338e-15
 2.0414184631e+01  9.3375078372e+03  1.0588888384e+01  7  1.6800000000e+01  4.6993746782e-15
 7.3918531287e-01  1.9623527689e+04  7.4176518557e-01 12  9.1763222338e-01  9.8761158466e-15
-1.9284017483e+01  2.7146894327e+04  8.8097228828e+00  7  1.2100000000e+01  1.3662470759e-14
-6.3741636698e-01  2.9370565125e+04 -2.0095983212e-01  7  1.2100000000e+01  1.4781598307e-14
 6.6424917783e+00  3.1988210656e+04  2.5518891696e+00 12  3.7912802089e-01  1.6099005193e-14
 1.2840974872e+01  3.3738063979e+04  5.8887374452e+00  1  8.5724082772e+00  1.6979670199e-14
-8.5090286013e+00  3.6616789584e+04  2.1862297957e+01 12  1.4774217025e+00  1.8428473290e-14
-7.3035865895e+00  4.0422212609e+04  2.6470198486e+00  7  1.6800000000e+01  2.0343664036e-14
 9.4460620176e-01  4.3702735327e+04  5.6820690427e-02  7  8.7600000000e+00  2.1994683308e-14
 9.0122017593e+00  4.9772382016e+04 -1.4028288931e+01 12  1.7065880561e+00  2.5049411021e-14
-7.6386319373e+01  5.6925209593e+04 -1.9035851553e+01  7  8.7600000000e+00  2.8649281284e-14
 4.2944697512e+01  6.7924951484e+04  1.4195780556e+01 12  6.6354220016e-01  3.4185224001e-14
 1.6829001078e+01  8.0152334042e+04  3.7304056802e+01 12  9.4975516561e-01  4.0339012889e-14
 2.2568683461e+02  8.3229889843e+04  1.7892959318e+02 12  5.1440905697e-01  4.1887883107e-14
-2.9122729523e+02  8.8555367914e+04  9.9712586941e+00 12  1.9561527420e+00  4.4568086137e-14
 2.9012117278e-01  9.9554318951e+04 -7.9001997898e-01 12  6.5086289862e-01  5.0103630834e-14
-6.9871571739e+01  9.9883803844e+04  2.7959561542e+02  7  1.6800000000e+01  5.0269453770e-14
 5.5882031510e-01  1.1043182918e+05  5.7530700115e+00  7  8.7600000000e+00  5.5578056884e-14
 1.2720802349e+01  1.1185166414e+05  3.7227803597e+00 12  2.5503803020e+00  5.6292630470e-14
 1.7932343257e-03  1.1451321795e+05 -3.3013229131e+00 12  1.1020503315e+00  5.7632135484e-14
 1.1258373442e+01  1.2182055949e+05  4.7757293436e+00 12  2.7183589508e+00  6.1309769433e-14
-1.6734193255e+02  1.2806467942e+05  1.9553562746e+02 12  1.1513852796e+00  6.4452305919e-14
 7.9191754757e-02  1.2875457574e+05  1.8491562676e+00 12  1.5620060926e+00  6.4799516476e-14
-2.3296028209e+01  1.3176974897e+05 -7.3277807189e+00 12  1.3146639451e+00  6.6316990836e-14
 4.3157547394e+01  1.3338579534e+05 -2.7912655195e+00 12  8.0235066996e-01  6.7130313566e-14
-4.0368595175e+00  1.5021528187e+05 -7.4277074973e-01 12  1.6567315632e+00  7.5600246256e-14
 3.9348046394e+00  1.5264383584e+05 -1.6915243174e+00 12  1.0967184546e+00  7.6822487266e-14
-4.8560402556e+00  1.6040814469e+05 -3.6052819774e+00  7  1.2100000000e+01  8.0730103414e-14
 2.9089046513e+00  1.6919500306e+05  2.3544998079e+01  7  1.6800000000e+01  8.5152347597e-14
 1.9746799110e+00  1.7253239191e+05  1.6490933567e-01  7  1.2100000000e+01  8.6831986421e-14
-5.7514779843e+01  1.7701851933e+05  7.9802068676e+00  7  1.6800000000e+01  8.9089761618e-14
 6.3245665740e+01  1.8188944953e+05 -1.8082437837e+01  7  1.2100000000e+01  9.1541200098e-14
-2.2096849212e+02  1.8699676133e+05 -1.8712829520e+02  7  1.2100000000e+01  9.4111604555e-14
 2.1735521124e+03  1.8974317871e+05 -9.4045359339e+01 12  1.1319446735e+00  9.5493819652e-14
-1.6644785172e+01  1.9251156333e+05 -4.1069592720e+01  7  8.7600000000e+00  9.6887090407e-14
-1.1000436941e-01  1.9719548025e+05  1.9237120101e+01  7  1.2100000000e+01  9.9244408971e-14
-1.5361583341e+01  1.9797234005e+05 -1.7962258821e+01  7  1.2100000000e+01  9.9635386448e-14
-4.1472306745e+00  1.9868339656e+05  3.1462476469e+00 12  6.5723247982e-01  9.9993246492e-14
-1.8325085499e+01  1.9959733044e+05 -3.1880206040e+01 12  1.2101494812e+00  1.0045321052e-13
-1.8546264309e+02  2.0561298017e+05 -5.8503736538e+01  7  1.6800000000e+01  1.0348076268e-13
 1.5931016443e+02  2.0996519045e+05  6.8105097937e+01 12  1.4453978365e+00  1.0567114015e-13
 2.0029958700e+01  2.1088206671e+05  2.7986991094e+01  7  1.2100000000e+01  1.0613258502e-13
 6.5481866160e+00  2.1673026975e+05  1.3831565684e+01 12  1.3574609608e+00  1.0907586472e-13
 3.9898369090e+02  2.1780890856e+05 -8.6669104952e+02 12  1.7739224861e+00  1.0961872134e-13
 3.0230069091e+01  2.1794238286e+05 -1.8680862983e+01 12  1.5415266884e+00  1.0968589619e-13
 3.2329811661e+01  2.2151006358e+05  3.8835885462e+02  7  1.2100000000e+01  1.1148143615e-13
-2.2957440622e+00  2.2726757799e+05 -2.6257212823e+00 12  4.1567904343e+00  1.1437907414e-13
 4.0698968195e+00  2.3548435821e+05 -6.5303890384e-01 12  1.1795310155e+00  1.1851440978e-13
 5.4676756990e+01  2.4876343770e+05 -1.6950377208e+01 12  7.9153157328e-01  1.2519749599e-13
 2.2979283631e+01  2.5220764479e+05 -3.3272158097e+00 12  1.1725858730e-01  1.2693089422e-13
 1.9435703181e+02  2.5380287122e+05  1.2137276825e+02 12  4.3566218640e-01  1.2773373871e-13
-2.7619560010e+01  2.6017713777e+05 -6.2139114584e+01 12  6.6736574954e-01  1.3094177530e-13
 5.3634850007e+00  2.6154393953e+05 -1.6103987163e+00  7  8.7600000000e+00  1.3162965837e-13
-8.8936789519e+00  2.6710836205e+05  5.5574659710e+00 12  4.1591015407e-01  1.3443011721e-13
 1.9759016729e+01  2.6915672293e+05  3.2604997708e+01  7  1.6800000000e+01  1.3546101489e-13
-6.4076730463e+00  2.6957663620e+05  1.5742357466e+01 12  1.1336489651e+00  1.3567234857e-13
-6.3438555707e+00  2.7019578346e+05  4.8081769964e+00  7  1.6800000000e+01  1.3598395258e-13
