 x                 y                 z               Event            Energy              Time
-1.3832682746e+01  8.0146011961e+01  1.1780496695e+01  2  1.6800000000e+01  3.9617657960e-16
-1.4926214908e+01  8.8642714867e+01  9.7872204133e+00 11  1.0383233707e-01  4.2283590828e-16
-1.6120914851e+01  9.3194054842e+01  9.6371469221e+00  1  1.2100000000e+01  4.5849889094e-16
-1.7099126080e+01  9.2373624402e+01  1.6908290996e+01  0  8.7600000000e+00  5.6189531028e-16
-2.1636283167e+01  9.7741648734e+01  2.9527143192e+01 11  2.1225869971e-01  8.3344617022e-16
-2.2801591767e+01  9.5355493472e+01  2.9925977707e+01  2  1.6800000000e+01  8.5302190521e-16
-3.3337481130e+01  9.5063791212e+01  4.6097948238e+01  1  1.2100000000e+01  1.3271543837e-15
-3.3864311824e+01  9.2872642211e+01  4.9124263121e+01  0  8.7600000000e+00  1.3853745066e-15
-4.1691365630e+01  9.8834429936e+01  5.1569605615e+01  0  8.7600000000e+00  1.8202697528e-15
-3.5679738588e+01  9.6809621606e+01  4.8452127748e+01 11  1.8386103143e-01  2.4599866382e-15
-3.5325866446e+01  9.8086564678e+01  5.3763667056e+01  0  8.7600000000e+00  2.5019646655e-15
-4.0686109401e+01  8.3883230934e+01  9.3446333725e+00 11  6.2404913553e-02  3.5894629503e-15
-4.5767058124e+01  9.4560787060e+01  7.1175453991e+00 11  6.7968932343e-02  4.7256705979e-15
-4.0906192197e+01  1.1322151924e+02  5.3617325101e+00 11  1.4130489444e-01  1.0553984300e-14
-5.8027189558e+01  1.2181702736e+02  1.2417386113e+01 11  2.2255734733e-01  1.2238671847e-14
-6.5280576531e+01  1.1815322942e+02  1.3580603633e+01 11  1.6298190234e-01  1.2968906116e-14
-8.9843734882e+01  1.3132441361e+02 -1.5480311075e+00 11  1.6356015858e-01  1.9162240472e-14
 8.4160144878e+00  1.1262509488e+03 -6.9107959806e+00  0  8.7600000000e+00  2.7622998053e-15
 1.4158688017e+01  1.1263917237e+03 -7.3167899287e+00 11  1.3832242268e-01  3.0920753573e-15
 9.3493897465e+00  1.1272357948e+03 -9.3076841267e+00 11  1.8106422604e-01  3.4846126030e-15
 1.7701105766e+01  1.1273320837e+03 -1.6504223454e+01 11  1.0602543604e-01  6.8459262955e-15
 2.7149470987e+01  1.1377213393e+03  5.8831595277e+00 11  1.0588161964e-01  8.6538762709e-15
 3.2967127942e+01  1.1491769079e+03  8.8446481705e+00 11  7.8824232338e-02  9.5207448938e-15
 4.8371128306e+01  1.1485432106e+03  1.2029552619e+01 11  4.6136012004e-01  1.0528235995e-14
 7.0418606637e+01  1.1589223089e+03  1.3859939410e+01 11  7.8069069112e-02  1.2584145775e-14
 7.3756286932e+01  1.1587634492e+03  8.5168097093e+00 11  1.7603413375e-01  1.3076471715e-14
 7.7726095454e+01  1.1579189981e+03  1.0109755083e+01 11  7.8751199339e-02  1.3387277994e-14
 7.7910976459e+01  1.1584782444e+03  7.9032208342e+00 11  8.2126290804e-02  1.3704936355e-14
 8.7441779112e+01  1.1647942029e+03 -9.8540713945e+00 11  2.5198857725e-01  1.6360270403e-14
-1.1033099251e+00  1.2623512888e+03 -2.5705550578e+00 11  1.9809851543e-01  2.0560560118e-15
 2.8488807051e+00  1.2648352689e+03 -1.9745263055e-01 11  1.0500210542e-01  3.3679503530e-15
 4.4662169459e+00  1.2618640981e+03 -2.0777925414e+00 11  8.8461855533e-02  3.5716095252e-15
